session_id,scenario,window_start,window_end,state,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_trend,vibration_mean,vibration_std,vibration_min,vibration_max,vibration_trend,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_trend
motor-0000,failure,0,29,DEGRADATION,55.90486666666666,1.3129980292783718,52.9055,58.2154,-0.04108048943270452,1.6828433333333335,0.17557665312399087,1.389,2.0513,0.007160778642936514,1812.9218466666669,13.97097652403566,1792.9093,1858.0397,-0.8729420689655614
motor-0000,failure,10,39,DEGRADATION,57.06494333333334,2.577724873822306,52.9055,63.0242,0.20202173526140083,1.8883800000000004,0.3563649247611218,1.389,2.6242,0.035729966629588425,1791.6092033333334,23.042354550298377,1732.7102,1826.391,-1.9014613793103996
motor-0000,failure,20,49,DEGRADATION,58.41238333333334,2.7328552033948346,52.9055,63.0242,0.251611145717462,2.1793766666666667,0.3532435313711428,1.389,2.6792,0.03490333704115682,1762.0043133333334,40.19476021503078,1692.9917,1826.391,-4.351880578420473
motor-0000,failure,30,59,DEGRADATION,60.061173333333336,1.3607041221204397,57.459,63.6756,0.028195061179086336,2.4797033333333336,0.2479603119900889,1.9194,3.0475,0.02194289210233591,1743.7381400000002,24.202698174674637,1692.9917,1782.3946,-0.6084513459399613
motor-0000,failure,40,69,FAILURE,61.30969333333334,2.0994553763509454,58.4823,66.8827,0.18296484983314704,2.618136666666666,0.2144022131156507,2.2622,3.129,0.012632413793103368,1723.13286,27.271182016561003,1663.2336,1765.6822,-0.9684960177975984
motor-0000,failure,50,79,FAILURE,62.28097,2.246452297609129,58.4823,66.8827,0.15051828698553804,2.774553333333333,0.22388595420188573,2.2622,3.2454,0.014385317018909846,1715.8532733333332,33.1212330716006,1662.376,1765.6822,-3.1174702558398546
motor-0000,failure,60,89,FAILURE,63.86990666666667,1.856401711902776,59.6278,67.3964,0.06648395995550485,2.918903333333333,0.3528244176011002,2.2622,3.8856,0.025480511679644012,1688.6583433333333,23.55534415590487,1644.8713,1734.3452,-1.5661682536151451
motor-0000,failure,70,99,FAILURE,65.12240333333332,2.440209263769993,59.6278,68.6178,0.21169181312569416,3.2699100000000003,0.47773851240331605,2.5246,4.2922,0.04473239154616235,1663.14778,41.28935150758528,1561.564,1722.9361,-3.6123582202447615
motor-0000,failure,80,109,FAILURE,66.62320666666668,1.817981945259328,61.6652,69.4471,0.11457899888765165,3.5215366666666656,0.44726200336665706,2.5246,4.2922,0.03412002224694099,1624.4498666666664,50.398991753892155,1547.9501,1701.9462,-4.545563559510568
motor-0000,failure,90,119,FAILURE,68.42821333333335,1.8184450818823825,65.4734,73.0706,0.11899185761957594,3.9408200000000004,0.4103154830127667,3.2115,4.863,0.03135145717463842,1596.9734799999999,37.26589955324124,1547.9501,1684.1417,-1.7759238709677752
motor-0000,failure,100,129,FAILURE,69.84573000000002,2.481417345947003,65.4734,75.7272,0.2175570411568392,4.088253333333332,0.369878432040703,3.2115,4.863,0.024348965517241326,1578.6779200000003,27.172690037234076,1515.3044,1634.4411,-0.36749873192438115
motor-0000,failure,110,139,FAILURE,71.09720999999999,1.9658692741125994,67.5299,75.7272,0.0808946162402653,4.334463333333334,0.24123912270239717,3.8964,4.863,0.003921223581757453,1568.102053333333,29.438433630304147,1507.5515,1617.5616,-2.0629909677419764
motor-0000,failure,120,149,FAILURE,72.81689,2.54897161581555,68.3821,77.9655,0.19206413793103208,4.562029999999999,0.4396544318363381,3.8964,5.5463,0.04363922135706329,1543.6818133333334,34.92351129033975,1476.712,1617.5616,-2.82896311457178
motor-0001,degrading,0,29,NORMAL,54.661546666666666,0.9780222770923411,52.6052,56.6381,-0.02301219132369363,1.5259399999999999,0.23420896880065603,1.1552,1.982,-0.0156426696329255,1813.5029233333332,19.096144786189743,1773.9821,1842.7339,0.2817470745271961
motor-0001,degrading,10,39,NORMAL,54.89980333333333,0.97845926451857,52.6052,56.4051,0.04966106785316991,1.4818466666666668,0.16988673625552866,1.1552,1.7543,0.012268965517241345,1811.4734533333333,18.324032534074533,1773.9821,1842.7339,1.0858119688542436
motor-0001,degrading,20,49,NORMAL,55.040749999999996,1.1216154530408355,52.6052,56.4051,0.06259499443826345,1.48422,0.17020600146097473,1.1369,1.7543,-0.002184738598442738,1811.9549399999999,19.435055288363163,1776.6102,1842.7339,-1.0859887875417735
motor-0001,degrading,30,59,DEGRADATION,54.826743333333326,1.565856852691913,51.1454,56.4378,-0.09359348164627401,1.45056,0.18769880766802968,1.0526,1.7411,-0.01557428253615132,1814.00701,19.974776725433006,1776.6102,1859.6697,0.7503112569521398
motor-0001,degrading,40,69,DEGRADATION,55.86184666666667,2.552033933255765,51.1454,59.6354,0.16494901001112258,1.4727999999999999,0.24244335695855504,1.0526,2.0458,0.016066874304783058,1809.5439633333333,21.59337251722518,1776.6102,1859.6697,0.36346725250274337
motor-0001,degrading,50,79,DEGRADATION,56.521960000000014,2.547581913972542,51.1454,59.6354,0.1843740600667392,1.6230399999999998,0.2769199831479604,1.0526,2.1112,0.02399034482758616,1797.9222300000001,32.389281882397974,1743.4427,1859.6697,-3.2955609121246168
motor-0001,degrading,60,89,DEGRADATION,57.900690000000004,1.2045740199616903,55.5151,60.1307,-0.04954489432703114,1.8910799999999999,0.25014926797147874,1.3737,2.3914,0.021719999999999944,1792.469466666667,26.793399192989472,1743.4427,1827.3288,0.4056533481645818
motor-0001,degrading,70,99,DEGRADATION,57.73116,1.1018964526669464,55.5151,60.1307,0.05225793103448198,1.9781633333333333,0.20314628470363144,1.6177,2.3914,0.00655935483870962,1782.9185133333337,27.45496022166404,1743.4427,1827.3288,0.4590055617352188
motor-0001,degrading,80,109,DEGRADATION,56.95321666666666,1.8210792779893523,53.5842,60.1307,-0.1150127474972208,1.9161533333333334,0.26350671431462397,1.427,2.3914,-0.01989365962180203,1782.7635166666666,26.785041234155084,1744.7184,1827.3288,-2.681939911012249
motor-0001,degrading,90,119,DEGRADATION,56.30892333333333,1.6650431755529809,53.5842,59.3255,-0.13330480533926753,1.9032533333333335,0.2606878487557272,1.427,2.4502,0.005776863181312546,1770.38729,15.696915268789803,1744.7184,1806.862,-0.11585644048947295
motor-0001,degrading,100,129,DEGRADATION,56.36195999999999,1.7338333533147487,53.5842,59.4132,0.14545054505005564,1.9282066666666668,0.2664707100018478,1.427,2.4502,0.019979399332591716,1763.551783333333,14.679353443779062,1735.6758,1792.8119,-0.3230337041157449
motor-0001,degrading,110,139,DEGRADATION,57.422586666666675,1.4607357170807993,54.542,59.4132,0.11610496106785136,2.1009933333333337,0.16787144671510465,1.7442,2.4502,0.0028801779755283485,1758.0959866666665,18.406441913792616,1729.3761,1792.8119,-1.5339074082314295
motor-0001,degrading,120,149,DEGRADATION,59.109680000000004,1.4537389152113933,56.9884,62.3886,0.11270874304782988,2.189786666666666,0.19858181980119818,1.853,2.657,0.012180689655172355,1751.270713333333,14.88629040047101,1729.1797,1782.8591,0.3581314794215478
motor-0001,degrading,130,159,DEGRADATION,59.27452999999999,1.5695316537426054,56.9884,62.3886,0.03452909899888604,2.244686666666667,0.16283176744385258,1.9088,2.657,0.0022464516129031653,1747.8172233333332,16.063754145003664,1715.8027,1782.8591,0.16147690767513853
motor-0001,degrading,140,169,DEGRADATION,59.46180000000001,1.4616954365849721,57.0914,62.3886,-0.085930678531703,2.273563333333334,0.17084551790693508,1.891,2.657,-0.003524471635150234,1747.4358466666667,18.65814106981603,1710.5658,1782.8591,-0.347771479421618
motor-0001,degrading,150,179,DEGRADATION,59.307336666666664,1.2502951258225217,57.0914,61.5317,0.05030600667408118,2.3185233333333333,0.17881076344063354,1.891,2.5917,0.012153704115684063,1749.6472433333333,19.232595037343664,1710.5658,1776.112,1.1721951279198686
motor-0001,degrading,160,189,DEGRADATION,59.887750000000004,1.1835881997130597,57.6917,61.6319,0.09810992213570474,2.399286666666667,0.16848634708947646,1.891,2.5917,0.010411434927697435,1746.53063,19.64044994158993,1710.5658,1776.112,-0.09642840934374161
motor-0001,degrading,170,199,DEGRADATION,60.01208666666666,1.2713348794956514,56.9524,61.6319,-0.030307319243606117,2.499153333333333,0.12396961652849549,2.2978,2.7968,0.003192925472747444,1741.7330866666666,20.027410307754607,1706.1445,1776.112,-1.3673033592881143
