session_id,scenario,window_start,window_end,state,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_trend,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_trend,vibration_mean,vibration_std,vibration_min,vibration_max,vibration_trend
compressor-0000,degrading,0,29,NORMAL,51.68312,1.9937458319120485,48.0725,54.3794,-0.1792049833147953,8.167936666666666,0.20097173181541944,7.7431,8.4355,-0.012614082313681938,1.48599,0.13024880383327903,1.2286,1.7205,-0.00021977753058957645
compressor-0000,degrading,10,39,DEGRADATION,51.60498666666668,2.2071573705762106,48.0725,55.8712,0.01933232480533797,8.144696666666666,0.18815398212338977,7.7431,8.4355,0.0038380645161287014,1.5619533333333335,0.18583013521911768,1.2286,1.9705,0.014501134593993313
compressor-0000,degrading,20,49,DEGRADATION,52.58308666666668,2.900879143493496,48.0725,56.4961,0.3024235817575071,8.088263333333332,0.21898374594679143,7.4776,8.3797,-0.003918731924360494,1.5847300000000002,0.17745118981473937,1.3138,1.9705,0.00047276974416015467
compressor-0000,degrading,30,59,DEGRADATION,54.05367,1.7075788409616706,50.3291,56.4961,0.04807753058954297,7.949656666666667,0.3165575499898171,7.3341,8.3797,-0.03150667408231397,1.7068699999999997,0.22331447206424693,1.2875,2.2224,0.004669299221357043
compressor-0000,degrading,40,69,DEGRADATION,54.62808333333333,1.1564803751277215,52.6814,57.0774,-0.03727993325917769,7.753239999999999,0.2578092455026907,7.3341,8.3447,-0.01699448275862099,1.7792466666666664,0.2660129655152587,1.2875,2.2225,0.02074135706340372
compressor-0000,degrading,50,79,DEGRADATION,55.11239,1.82261357457727,52.6814,59.1281,0.1387306117908772,7.648420000000001,0.18715181253018462,7.3341,7.9724,-0.0013517686318133136,1.9728400000000004,0.19104032314322195,1.2875,2.313,0.011146295884315878
compressor-0000,degrading,60,89,DEGRADATION,55.40558999999999,1.61011570461049,53.2448,59.1281,-0.004602424916574167,7.515536666666667,0.25770034210730547,7.0579,7.9724,-0.019674727474972373,2.03382,0.15824335562670558,1.755,2.4124,0.005101579532814177
compressor-0000,degrading,70,99,DEGRADATION,55.94480666666667,1.4995326642954094,53.2448,59.1281,-0.0364818687430489,7.475006666666667,0.23930175223391545,7.0579,7.9724,-0.008427230255839992,2.163616666666667,0.1993039556110772,1.7864,2.4883,0.013781735261401544
compressor-0000,degrading,80,109,DEGRADATION,56.49052,1.9484942623129964,53.2448,60.4979,0.20882558398220205,7.400626666666666,0.17065573129028574,7.0579,7.7345,0.008142380422691758,2.2126033333333335,0.18818312266395082,1.7864,2.4883,0.009710856507230201
compressor-0000,degrading,90,119,DEGRADATION,57.507646666666666,1.4323341334417126,55.1456,60.4979,0.07235657397107732,7.385649999999999,0.1957209676214244,6.9683,7.7345,-0.015753348164627545,2.292673333333333,0.1198004366528863,2.087,2.5261,-0.0029614682981090336
compressor-0000,degrading,100,129,DEGRADATION,58.378773333333335,1.323244603977494,56.3157,60.8067,0.029087919911010365,7.27133,0.17123353478023315,6.9683,7.5921,-0.009745205784204838,2.34035,0.15902749605021135,2.087,2.6058,0.013194682981090028
compressor-0000,degrading,110,139,DEGRADATION,59.134903333333334,1.734356011796758,56.3157,61.7546,0.15203583982202212,7.196766666666665,0.1435653238850602,6.9683,7.4303,0.0011451835372634357,2.3999866666666665,0.16779414517662866,2.0746,2.6227,0.005377619577308057
