session_id,scenario,window_start,window_end,state,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_trend,flow_rate_mean,flow_rate_std,flow_rate_min,flow_rate_max,flow_rate_trend,vibration_mean,vibration_std,vibration_min,vibration_max,vibration_trend
pump-0000,failure,0,29,NORMAL,4.518379999999999,0.11676152448473777,4.2955,4.7411,0.005491612903225708,90.75952333333333,4.107186590167964,84.6985,97.7732,-0.33013746384872267,1.3109166666666663,0.23444582186272567,0.9197,1.7131,-0.017101913236929958
pump-0000,failure,10,39,DEGRADATION,4.5399199999999995,0.10218341809380485,4.3368,4.7411,-0.003673370411568469,89.24592999999999,3.2813952122179155,84.6985,95.9303,-0.11032193548387223,1.27642,0.20318065590339388,0.9197,1.7404,0.015396173526140129
pump-0000,failure,20,49,DEGRADATION,4.44058,0.15084766134525696,4.0199,4.6581,-0.011015350389321556,88.17999666666668,1.7269203655608696,84.6985,91.7893,0.06119842046718376,1.5177799999999997,0.3105347478141536,0.9197,2.0357,0.0340864516129032
pump-0000,failure,30,59,DEGRADATION,4.290000000000001,0.2072010585558546,3.9505,4.6581,-0.01990353726362646,86.99138333333333,3.5215266335386737,79.2721,91.7893,-0.31432206896551934,1.7452533333333333,0.2271967938936541,1.3749,2.1308,0.018017886540600617
pump-0000,failure,40,69,DEGRADATION,4.029906666666667,0.2726884167364324,3.5829,4.5782,-0.02876569521690777,84.30246666666666,3.700771473205133,78.0468,90.4213,-0.312947497219135,1.9707033333333335,0.25760666979374236,1.5768,2.5673,0.01538213570634034
pump-0000,failure,50,79,DEGRADATION,3.9204466666666664,0.18730102817538294,3.5829,4.2678,-0.00679176863181323,83.40504666666668,3.4550823558668213,78.0468,90.5556,0.04203497219132209,2.1293333333333333,0.30332754719756144,1.5768,2.5909,0.02436760845383756
pump-0000,failure,60,89,FAILURE,3.8099133333333337,0.15941860981565345,3.5829,4.1882,0.0013247608453836254,81.18008666666667,4.953548767010935,69.4862,90.5556,-0.2726827141268096,2.3003666666666667,0.2549145861307709,1.5768,2.6356,0.01420329254727469
pump-0000,failure,70,99,FAILURE,3.8284099999999994,0.15260391727169614,3.4814,4.1882,-0.010955172413793244,79.55793666666663,5.638431076607708,69.4862,90.5556,-0.4333556173526167,2.5087933333333337,0.3619821974750814,2.0987,3.3539,0.02440720800889872
pump-0000,failure,80,109,FAILURE,3.7470133333333338,0.12240320456952455,3.4814,4.0059,-0.0004781312569522294,77.96373666666668,4.271211543616427,69.4862,86.0225,0.19667001112346905,2.7125399999999997,0.40154204727940185,2.0987,3.3539,0.03283163515016679
pump-0000,failure,90,119,FAILURE,3.669983333333333,0.18143918555691202,3.3167,4.0059,-0.013336707452725397,79.19907666666667,4.3035046516905515,70.7368,88.5692,0.19020505005561628,2.95614,0.34400753344464224,2.1333,3.3878,0.02149454949944377
pump-0000,failure,100,129,FAILURE,3.4689899999999994,0.34422181545238145,2.5623,4.0059,-0.030776084538376016,76.31995,6.998620289778549,63.2111,88.5692,-0.5981028476084554,3.0249166666666674,0.2274441588366008,2.6284,3.3878,-0.0011658509454950416
pump-0000,failure,110,139,FAILURE,3.3191,0.305052551756797,2.5623,3.8302,-0.01483248053392663,72.56339000000001,6.647266686959886,63.2111,88.5692,-0.5436043826473879,3.176936666666667,0.29845818633250604,2.6284,3.809,0.012082202447163447
pump-0000,failure,120,149,FAILURE,3.26115,0.2726457283117905,2.5623,3.6947,0.004404694104560506,68.50401000000001,2.984731901232225,62.6821,73.8295,0.04261773081201105,3.3376233333333327,0.3682238664031554,2.6284,4.1038,0.028126251390433794
pump-0000,failure,130,159,FAILURE,3.324103333333334,0.20110529660409796,2.9357,3.7235,0.0020018020022247182,68.63896333333334,4.124697162175128,60.6582,77.3451,-0.06219357063403843,3.6081333333333334,0.31631877311064266,2.9608,4.4242,0.02375172413793099
pump-0000,failure,140,169,FAILURE,3.19001,0.28310890407521033,2.6795,3.7235,-0.024458665183537363,64.31233999999999,7.026404092592454,51.4676,77.3451,-0.5630698109010028,3.744306666666667,0.28725231061830564,3.2357,4.4242,0.01814335928809777
